Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
651,MIRACLE PRAYER SOCIO-WELFARE CHARITABLE TRUST,BNS-4-00187-2022-23,Trust,"NO 657 2ND CROSS VERBARADAPPA STREET RS PALYA BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560033","Children, Dalit Upliftment, Differently Abled, Tribal Affairs, Women's Development & Empowerment",ALL,miracleprayersociowelfare.bj@gmail.com,
652,Mission Possible - 3E Foundation,152845,Section 8 Company,"182/2, 2nd Main Road, Chamrajpet, Bangalore560018 , Bangalore, BENGALURU URBAN (Karnataka) - 560018","Agriculture, Art & Culture, Children, Differently Abled, Disaster Management",ALL,missionpossible3e@gmail.com,
653,MITHILA CHHATH PUJA SAMITI,DRB3/SOR/452/2022-23,Society,"FLAT NO B404 CONCORDE SOUTHSCAPE APARTMENT ANDAPURA ELECTRONIC CITY , Anekal, BENGALURU URBAN (Karnataka) - 560100","Aged/Elderly, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Skill Development, Religious",BENGALURU URBAN,mithilachhathpujasamiti@gmail.com,
654,MITHRA TRUST,BSKIV104/2023-24,Trust,"no 43-3 Jeevanahalli Main Road Jeevanahalli Cox Town Bangalore Fraser Town S.O , Bengaluru North, BENGALURU URBAN (Karnataka) - 560005",Differently Abled,BENGALURU URBAN,gazelle1970@gmail.com,
655,MITRA FOR LIFE FOUNDATION,BNG U JNR 316/2020-21,Trust,"Jupiter 1, 30-1, 4th Cross 7th Block, Padmanabhnagar , Bengaluru South, BENGALURU URBAN (Karnataka) - 560070",Education & Literacy,BENGALURU URBAN,naveenpai@mitraforlife.org,
656,Mitra Jyothi,B/IV 335/89-90,Trust,"CA Site No. P22, 31st Main, 18th Cross, Sector 1, HSR Layout, Behind National Institute of Fashion Technology (NIFT College) , Bangalore, BENGALURU URBAN (Karnataka) - 560102","Differently Abled, Education & Literacy, Right to Information & Advocacy, Vocational Training, Women's Development & Empowerment",ALL,admin.office@mitrajyothi.org,http://www.mitrajyothi.org/
657,Mitrathva Trust,JAL-4-00146-2020-21,Trust,"No.43/1, 1st Floor, Bharathinagar, Hunasemaranahalli Pos, Bengaluru North , Bengaluru North, BENGALURU URBAN (Karnataka) - 562157","Children, Aged/Elderly, Information & Communication Technology, Women's Development & Empowerment, Youth Affairs",BENGALURU URBAN,mitrathvatrust@gmail.com,http://mitrathvatrust.unaux.com/?i=1
658,MJN FOUNDATION,U80900KA2022NPL159229,Section 8 Company,"32, Yashoda NagarAirport road, YelahankaBengaluru 560064 , Bangalore, BENGALURU URBAN (Karnataka) - 560064","Children, Differently Abled, Education & Literacy, Environment & Forests, Right to Information & Advocacy",ALL,memoons@gmail.com,
659,MM FOUNDATION,IV-1046 OF 2023-2024,Trust,"No.854,MM House,5th cross, binnamangala 1st stage, Indiranagar , Bengaluru , bangalore, BENGALURU URBAN (Karnataka) - 560038","Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water",ALL,mohamad.meeran@yahoo.com,
660,Mobility India,343:94-95,Society,"MOBILITY INDIA 1st , Bangalore, BENGALURU URBAN (Karnataka) - 560078","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Nutrition",ALL,frucom@mobility-india.org,http://mobility-india.org/
661,MOHANLAL JAIRANI KAPUR TRUST,SHV-4-00254/2008-2009,Trust,"Flat # 2202, Marrakesh Apartments, # 5 St Marks Road, St Marks Road, Bengaluru - 560 001 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Children, Differently Abled, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,meghanak@centuryrealestate.in,
662,MOIRASARANG FOUNDATION,U85300KA2022NPL163106,Section 8 Company,"No: 13 WARD OFFICE ROAD, VEERABHADRASWAMY TEMPLE, IIMB POST, BILLEKAHALLI, DEVARACHIKKANAHALLI ROAD, BANGALORE, KARNATAKA560076 INDIA , BILLEKAHALLI, BENGALURU URBAN (Karnataka) - 560076","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Dalit Upliftment, Differently Abled",ALL,anushanagraj700@gmail.com,
663,MOMS CARE HELPING CHARITABLE TRUST,IV/430/2223,Trust,"NO 7/1, PAGEGOWDA STREET, SHANTHI NAGAR , Bengaluru South, BENGALURU URBAN (Karnataka) - 560027",Education & Literacy,BENGALURU URBAN,islamempire.julfekar@gmail.com,
664,MONTE CASSINO EDUCATIONAL INSTITUTE,DRB-4/SOR/261/2017-18,Society,"No.E 645, Anchepalya, Kambipura Village, Kumbalgodu, , Bangalore, BENGALURU URBAN (Karnataka) - 560074","Differently Abled, Education & Literacy, Rural Development & Poverty Alleviation, Vocational Training, Skill Development",ALL,montecassinoedu@gmail.com,
665,MONTFORT EDUCATIONAL AND CHARITABLE TRUST OF THE BROTHERS OF ST GABRIEL,148:2000/2001,Trust,"Kurudusonnenahalli, Virgo Nagar Post, Bangalore560049 , BANGALORE, BENGALURU URBAN (Karnataka) - 650049","Differently Abled, Education & Literacy",ALL,admin@lakemontfortschool.in,http://www.lakemontfortschool.in/
666,Mother India foundation,JAY-4-00312-2009-10,Trust,"No 25 Gulbarga Colony near RBI extension 3rd Block East Jayanagar BANGALORE 560 011 KARNATAKA INDIA , BANGALORE, BENGALURU URBAN (Karnataka) - 560001","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Dalit Upliftment",ALL,motherindiafoundation10@gmail.com,
667,MOTHER TERESA NAVACHETANA CHARITABLE TRUST,KRI-4-00127-2018-19,Trust,"1st Cross, Ramaiah Layout, Cheemasandra Gate, Near Bren starlight Apartment, Avalahalli, Virgonagar Post, Hoskote taluk, Bangalore – 560049 , bangalore, BENGALURU URBAN (Karnataka) - 560049","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,info@mtnctrust.org,http://www.mtnctrust.org/
668,MOTIVATION INDIA,DIT( E )BLR/12A/M-779,Trust,"No 27 7th Main Road Behind BDA Complex 1st Stage 2nd Block HBR Layout Bangalore 560043 , Bangalore, BENGALURU URBAN (Karnataka) - 560043",Differently Abled,ALL,info@motivationindia.org.in,
669,MOUKTHI NAVACHETANA CHARITABLE TRUST,KRI-4-00473-2024-25,Trust,"1st Cross, Ramaiah Layout, Cheemasandra Gate, Near Bren starlight Apartment, Avalahalli, Virgonagar Post, Hoskote taluk, Bangalore – 560049 , BANGALORE, BENGALURU URBAN (Karnataka) - 560049","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,bhuchakravarthi@gmail.com,
670,Movement For Alternative And Youth Awareness,765/90-91,Society,"Movement For Alternatives And Youth Awareness No.25/14 9th Cross, J P Nagar 2nd Phase Bangalore - 560078 Karnataka,INDIA , Bangalore, BENGALURU URBAN (Karnataka) - 560078",Women's Development & Empowerment,BENGALURU RURAL,alex@mayaindia.org,http://www.mayaindia.org/
671,MPHASIS F1 FOUNDATION,CSR00002471,Trust,"Laurel ,Bagmane Technology Park, Byrasandra, C.V. Raman Nagar, Bangalore 560 093 , Bangalore City, BENGALURU URBAN (Karnataka) - 560093","Differently Abled, Education & Literacy, Environment & Forests, Skill Development",ALL,sarojini.s@mphasis.com,
672,MUBARAK SOCIAL WELFARE AND CHARITABLE TRUST,BKIV810 2022-23,Trust,"1st Floor Marappa Block JC Nagar post Bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560006","Education & Literacy, Aged/Elderly, Health & Family Welfare, Women's Development & Empowerment",BENGALURU URBAN,Mahmood.ahmed.khan1@gmail.com,
673,MUDITAA,VJN-4-00056-2025-26,Trust,"#9, 3d Floor, Lakshmi Krupa 3 cross d Bagalagunte, Bangalore North , Bengaluru North, BENGALURU URBAN (Karnataka) - 560073","Agriculture, Children, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,sushmitabiraj24@gmail.com,
674,MUTHA FOUNDATION,21237/2018-19,Trust,"No.60, pulyar koil street ashoknagar bangalore 5600025 , bengaluru, BENGALURU URBAN (Karnataka) - 560025","Art & Culture, Children, Civic Issues, Differently Abled, Education & Literacy",ALL,darshan@adityaedu.com,
675,MV AROVAH FOUNDATION TRUST,BMH-4002522025-26,Trust,"no 1359 9th cross 1st main rajendra nagar koramangala viveknagar post bangalore 560047 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560047","Differently Abled, Food Processing, Housing, Labour & Employment, Youth Affairs",BENGALURU URBAN,MVAROVAHFOUNDATION@GMAIL.COM,
676,MV CHALLENGERS GROUP OF DISABILITY CHARITABLE TRUST,BMH-4-00287-2020-21,Trust,"NO 1413 9TH CROSS 1ST MAIN RAJENDRANAGAR SLUM 2ND STAGE KORMANGALA BANGALORE 560047 , SOUTH BANGALORE, BENGALURU URBAN (Karnataka) - 560047","Children, Differently Abled, Education & Literacy, Aged/Elderly, Food Processing",ALL,navbin173@gmail.com,
677,MY NATURE INDIA FOUNDATION,324/2019-20,Trust,"Flat No 106 1st Floor MBM Royal Apartments 18th Main 18th Cross JP Nagar 5th Phase Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078","Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests",ALL,suri9377@gmail.com,
678,MYRALIKA GRANTS FOUNDATION,U85100KA2019NPL128790,Section 8 Company,"249 Guruprasad 15th Main Jayanagar 4th T Block , Bangalore, BENGALURU URBAN (Karnataka) - 560049","Agriculture, Art & Culture, Children, Differently Abled, Disaster Management",ALL,myralikagrants@gmail.com,https://www.myralikagrantsfoundation.org/
679,N M V K TRUST,07/25-26,Trust,"14th main road end , MC layout, Vijayanagar, Bangalore Urban - 560040 Karnataka , Bengaluru South, BENGALURU URBAN (Karnataka) - 560040",Differently Abled,BENGALURU URBAN,nmvktrust@gmail.com,
680,Naadagraama Charitable Trust,BSK-4-00516-2025-26,Trust,"No 581, 2nd Phase, 6th Block, Banshankari 3rd Stage , Bengaluru South, BENGALURU URBAN (Karnataka) - 560085","Art & Culture, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",BENGALURU URBAN,pattabhirama.pandit@gmail.com,
681,NABEELA WELFARE AND CHARITABLE TRUST (NGO),BMH-4-00468-2016-17,Trust,"NO 36/27/4 YELLKUNTE MANGAMMANA PALYA BANGALORE 560068 , BANGALORE, BENGALURU URBAN (Karnataka) - 560068","Children, Differently Abled, Drinking Water, Education & Literacy, Food Processing",ALL,Msfshamma@gmail.com,
682,Nandlal Mohanlal Jayarani Kapur Charitable Trust,106/2000-2001,Trust,"#5 Flat #2202, Marrakesh Apartments, St Marks Road, Bangalore North, Bengaluru - 560 001 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Children, Differently Abled, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,rekha.dn@centuryrealestate.in,
683,Nanna Preethiya Shanideva Educational Foundation,GNUM/SOR/153/14-15,Society,"No 492, 4th main Road, Brahmaputra River Road, Brundavan Nagar, Bangalore -560019 , Bangalore, BENGALURU URBAN (Karnataka) - 560019","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,raviv4753@gmail.com,http://www.npsef.org.in/
684,NATIONAL CORRUPTION CONTROL BOARD,BNG(U)BSK 465 2022-23,Trust,"NO 71, ASHRAMA ROAD, NEAR BARGAVI STORES, YELACHENAHALLI, BANGALORE-560078 , BANGALORE, BENGALURU URBAN (Karnataka) - 560078","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,chaluvaraju.n@gmail.com,http://www.nccbgovt.org/
685,National Council For Skill Development And Professional Education Mission,4-00635-2015-16,Trust,"E.Santhosh 55 Kamanahalli Main Road Kamanahalli Bangalore , Bangalore, BENGALURU URBAN (Karnataka)","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Differently Abled",ALL,ncsdpem@gmail.com,http://www.ncpem.in/
686,National Crime Control Board,JAY-4-00318-2019-20,Trust,"895,11thMAIN, 17TH CROSS,VIKRAMANAGAR,ISRO LAYOUT,BANGALORE-560078 , BANGALORE, BENGALURU URBAN (Karnataka) - 560078","Agriculture, Art & Culture, Civic Issues, Differently Abled, Education & Literacy",ALL,nccbkarnataka@gmail.com,
687,National Human Rights Council Trust,188/2122,Trust,"114 1st floor,vinayaka nagar,Bangalore,Karnataka560066 , Bangalore, BENGALURU URBAN (Karnataka) - 560066","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,mallikarjunn1001@gmail.com,
688,NATIONAL SCHOOL FOR INSURANCE EDUCATION AND RESEARCH,32/2023-24,Trust,"178, Basement Room No:1, Nirmala Arcade, R T Nagar Main Road, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560032","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Differently Abled, Disaster Management",ALL,director.nasier@gmail.com,
689,NATURENEST CHARITABLE TRUST,SHR-4-00375-2024-25,Trust,"No.34, 1st Main, 2nd Cross, YD Lotus Apartment, Horamavu Main Road, Horamavu, Banasawadi, Bengaluru-560043 , Bengaluru, BENGALURU URBAN (Karnataka) - 560043","Art & Culture, Differently Abled, Education & Literacy, Women's Development & Empowerment",ALL,jennishaun28@gmail.com,
690,Nav Prabhuthi Trust,180,Trust,"No 448th cross7th main Malleshwaram Bangalore 560003 , Bangalore, BENGALURU URBAN (Karnataka) - 560003","Differently Abled, Vocational Training",ALL,navprabhuthi@gmail.com,http://www.navprabhuti.org/
691,NAVACHETHANA WELLNESS FOUNDATION,DRB1/SOR/414/2018-2019,Society,"Navachethana Wellness Foundation No.309, 6th Cross, New KAVIKA Layout,Bapujinagar, Mysore Road, Bangalore560026 , Bangalore, BENGALURU URBAN (Karnataka) - 560026","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,navachethanavenugopal@gmail.com,
692,NAVAJEEVAN CHARITABLE SEVA SAMSTE,SOR/BLU/DR/1054/2009-10,Society,"No:686, 1st Main, 2nd Cross, Kamala nagara, Bangalore-560079 , Bangalore, BENGALURU URBAN (Karnataka) - 560079","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Dalit Upliftment, Differently Abled",ALL,darshan4kadur@gmail.com,
693,NAVAJEEVANA NILAYA,S-2149/59-60,Society,"Navajeevana Nilaya, Old Airport-Whitefield Road, Kundalahalli Gate, Marathahalli, , Bengaluru East, BENGALURU URBAN (Karnataka) - 560037",Differently Abled,BENGALURU URBAN,nppsblr2006@gmail.com,
694,Navanidhi Trust,BK IV 540,Trust,"VG-11, Pruksa Silvana, Bommenahalli Village, Mandur Panchayat, Off Old Madras Road, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560049","Children, Differently Abled, Health & Family Welfare, Rural Development & Poverty Alleviation, Youth Affairs",ALL,santhosh.jayaram13@gmail.com,
695,NAYABHARAT SEVA TRUST,RJN-4-00303-2024-25,Trust,"Rajajinagara, Bangaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560010","Education & Literacy, Environment & Forests, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Skill Development",BENGALURU URBAN,nayabharatsevatrust@gmail.com,
696,NAYANA FOUNDATION,65/97/98,Society,"Nayana foundationNo 78 3rd main Road Anand Extension Hebbal Bangalore 560024 , BANGALORE, BENGALURU URBAN (Karnataka) - 560024","Children, Differently Abled, Education & Literacy, Labour & Employment, Panchayati Raj",YADGIR,NAYANAFOUNDATION@GMAIL.COM,
697,NAZARETHINA YESUVINA CHARITABLE MISSION TRUST,INR-4-00736-202122,Trust,"NO 6/3A 2ND CROSSMUNIVENKATAPPA LAYOUT ANIKTHAN SCHOOLNEAR BAGUR MAIN ROAD HOGASANDRA BANGALORE-560068 , BANGALORE, BENGALURU URBAN (Karnataka) - 560068","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,NAZARETHINAYESUVINA.BJ1990@GMAIL.COM,
698,NEED TRUST,IV600/2004-05,Trust,"New Address :- 31, Sai Geetham, 5th main Road, 5th C cross, P and T Colony, Horamavu, Bangalore. Horamavu main Road, Near Padam Medicals, Old Address:- No.9/B, Cantonment Railway Quaters, Benson Town Road, Bangalore, Bangalore, Karnataka , Bangalore, BENGALURU URBAN (Karnataka) - 560046","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,trustneed08@gmail.com,
699,Needuva Hrudhaya Foundation,U85300KA2022NPL166195,Section 8 Company,"16 revanna layout 3rd B cross Anandapura, K.R.Puram Bangalore :560036 , Bangalore, BENGALURU URBAN (Karnataka) - 560036","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Differently Abled",ALL,antony@heartofgiving.in,http://www.heartofgiving.in/
700,NENAPIRALI FOUNDATION,237/2020-21,Trust,"No.224, Nenapirali, 2nd A Main, 2nd Stage, 9th Block, Vinayaka Layout, Nagarabhavi, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560072","Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",BENGALURU URBAN,stylishstarprem.pj@gmail.com,
701,NEOPKRIT FOUNDATION,U85500KA2023NPL172033,Section 8 Company,"1207/343 , BANGALORE, BENGALURU URBAN (Karnataka) - 560102","Animal Husbandry, Dairying & Fisheries, Civic Issues, Differently Abled, Health & Family Welfare, Information & Communication Technology",ALL,kunal@rkkc.in,
702,NEW BEGINNING CHARITABLE MISSION,HLS-4-00149-2023-24,Trust,"C/O NO 141 SBI LAYOUT BTM 4TH STAGE BEHIND ROYAL SHELTERS BETHESDA CHURCH STREET DEVARCHIKKANAHALLI BANGALORE , Bangalore, BENGALURU URBAN (Karnataka) - 560076","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,newbeginningcharity3@gmail.com,
703,NEW HOPE OF FAITH IN THE HUMANITY TRUST,INR-4-00913-2021-22,Trust,"MARANAGERE COLONY BEHIND CHILD CARE TIPTUR RURAL TUMKUR KARNATAKA , BANGALORE, BENGALURU URBAN (Karnataka) - 572201","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,newhopeoffaithinhumanitytrust@gmail.com,
704,NEW JERUSALEM PRAYER HOUSE,BLN-4-00656-2006-07,Trust,"NO 191 RAMACHANDRAPPA KARYIANAPALYA KADUGONDANAHALLI BANGALORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560084","Children, Dalit Upliftment, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,tts.hbr37@gmail.com,
705,NEW LIFE GLOBAL FOUNDATION,HBB-4-00007-2025-26,Trust,"NO, HN 79 ,In Survey No-94, 20th Block, Akravathi Layout, Hennur , Kalyan nagar post, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Education & Literacy, Aged/Elderly, Skill Development",BENGALURU URBAN,jvemula401@gmail.com,
706,New Life India Mission Trust,BNG KRP/182/2003 04 4 10,Trust,"Regent Gym,80 Feet Road,Subbaiahnapalya, Banaswadi Main Road, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,carrenchristinav@gmail.com,
707,New Mighty Grace Charitable Trust,BK IV 202/09-10,Trust,"No. 35, 244/1, Munivenkatappa Lyt, Horamavu Main Road, Near Kalkere Bus Stand, Kalkere, Bangalore - 560043 , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,mightygrace08@gmail.com,http://www.mgct.org/
708,NEWMORNING TRUST,B K IV 662/23-24,Trust,"B703, 4th Block, 8th Cross Road, S.T. Bed, Cauvery Colony, Koramangala, Bengaluru, Karnataka560034 , Bangalore, BENGALURU URBAN (Karnataka) - 560034","Children, Differently Abled, Education & Literacy",ALL,ritusharma31@gmail.com,
709,NEXORBI SCIENTIFIC & INDUSTRIAL RESEARCH FEDERATION,U72100KA2025NPL205046,Section 8 Company,"75/1,2nd Cross,GF,Hutting Col,Binnamangala,Indiranagar,stage-1,Bengaluru-560038 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560038","Science & Technology, Scientific & Industrial Research, Water Resources, Women's Development & Empowerment, Skill Development",ALL,Krishna0001.ind@gmail.com,
710,NIDHI FOUNDATION FOR EARLY INTERVENTIONS,U80902KA2022NPL160328,Section 8 Company,"FF1, Jeevanadi Summit, 4 B Sri Rama Temple Street, New THippasandra, Bangalore- 560075 , Bangalore, BENGALURU URBAN (Karnataka) - 560075","Children, Differently Abled, Education & Literacy, Health & Family Welfare",ALL,savitakoshy@gmail.com,http://www.nidhiearlyinterventions.com/
711,NILUVU FOUNDATION,659/23-24,Trust,"Haldenahalli, Kasaba Hobli, Anekal TQ, Bangalore 562106 , Bangalore, BENGALURU URBAN (Karnataka) - 562106","Children, Differently Abled, Women's Development & Empowerment",ALL,niluvufoundation1622024@gmail.com,
712,Ninedots Foundation,SHR-4-00831-2022-23 CD NO SHRD 1200,Trust,"C3, 2nd Floor, Jyothi Complex, 134/1, Infantry Road, Bengaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare, Skill Development",BENGALURU URBAN,ninedotstreasurer@gmail.com,
713,NIRAM FOUNDATION,BK IV BNG-BMH/307/2013-14,Trust,"G4, Shree Nandi Residency,2nd Main Road Kodichikkanahalli,Bommanahalli, Bengaluru560076, KA. , Bengaluru, BENGALURU URBAN (Karnataka) - 560076","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,kvramalingeswararao@yahoo.com,http://www.niram-foundation.org/
714,NIRANTHARA,585/2000-2001,Society,"NIRANTHARA No:51, 2nd Cross, Cauvery Nagar, BSK 2nd Stage, Bangalore-560070 (Reg.Address).Current Central Office Address is: Plot No-58/A, Sector No-3, Navanagar, Bagalkot-587103. , Bangalore South, BENGALURU URBAN (Karnataka) - 560070","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,nirantharanagarajr@gmail.com,www.https://nirantara.org
715,NIRMALA EDUCATION AND WELFARE TRUST,226/2016-17,Trust,"178/1, NIRMALA ARCADE, R T NAGAR MAIN ROAD, R T NAGAR , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management",ALL,arundeoprasadsingh@gmail.com,https://newt.org.in/
716,NIRUPTI SAMRIDDHI SEVA PUBLIC CHARITABLE TRUST,SHV-4-00148-2024-25,Trust,"31 2nd main 3rd cross 1st floor maruti nagar Yelahanka , Bangalore, BENGALURU URBAN (Karnataka) - 560064","Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,Mailkarthikp@gmail.com,
717,Nishritha Foundation,U93090KA2018NPLL113850,Section 8 Company,"#491/11, 1st Cross, Annasandra Palya, Vinayaka Nagar, near Arya Dental Care, Bengaluru , Bengaluru East, BENGALURU URBAN (Karnataka) - 560017","Differently Abled, Human Rights",ALL,selvaachari26@gmail.com,
718,NITHYA SAMRUDDHI FOUNDATION,U85300KA2022NPL163577,Section 8 Company,"13,3 CRS ANUBHAV NAGAR, M-PALLYA, BANGALORE, Karnataka, India, 560072 , M PALLYA, BENGALURU URBAN (Karnataka) - 560072","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Differently Abled",ALL,NITHYASAMRUDDHI@GMAIL.COM,
719,NJ CHARITABLE TRUST,MLS-4-00253-2024-25,Trust,"#98/25, Hunasuru Village, Jala Hobli, B.K. Halli Post, Yelahanka Taluk, Bangalore North, Bengaluru - 562149 , Yelahanka, BENGALURU URBAN (Karnataka) - 562149","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Women's Development & Empowerment",BENGALURU URBAN,raju999113@gmail.com,
720,NOAH'S ARK FOUNDATION,BK IV 505/2022-23,Trust,"No.276, 2nd Floor, 5th Square, Austin Town , Bengaluru North, BENGALURU URBAN (Karnataka) - 560047","Children, Women's Development & Empowerment",BENGALURU URBAN,joysharmila1905@gmail.com,
721,Noble Cause Foundation,418 of 2014-2015 in Book 4,Trust,"Noble Cause Foundation, No.216, Sri Hari, First Floor, 14th Main, 2nd Cross, BSK 1st Stage, 2nd Block, Bangalore 560050 , Bangalore, BENGALURU URBAN (Karnataka) - 560050","Agriculture, Children, Civic Issues, Differently Abled, Drinking Water",ALL,noblecause.bangalore@gmail.com,http://www.noblecausefoundation.co.in/
722,NOVEL WORLD CHARITABLE TRUST,RG0125000014498560,Section 8 Company,"No 721/36, 3rd Floor, 18th main road, 38th cross, Jayanagar, 4th T Block, Bangalore - 560041 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560041","Civic Issues, Education & Literacy, New & Renewable Energy, Urban Development & Poverty Alleviation, Women's Development & Empowerment",ALL,info@benaka.co.in,
723,NRITHYA RANJINI ARTS ACADEMY,MDP-4-00077-2025-26,Trust,"No 256,Behind Shanimahathma Temple, B Narayanapura, Bengaluru-560016 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560016","Art & Culture, Children, Health & Family Welfare, Science & Technology, Skill Development",BENGALURU URBAN,rashmilahari017@gmail.com,
724,NRK CHARITABLE TRUST,BNGUYLNK2942022-23,Trust,"#1542 1st Floor 1st Cross Behind Mini Vidhana Soudha Suggappa Layout Yelahanka , Yelahanka, BENGALURU URBAN (Karnataka) - 560064","Differently Abled, Aged/Elderly, Information & Communication Technology, Legal Awareness & Aid",ALL,akb.krupa@gmail.com,
725,O Nanna Chetana Charitable Trust,BNS-IV-742-2020-21,Trust,"216, 2nd Floor, SV Heights, Brundavan Layout, Horamavu, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560043","Children, Education & Literacy, Health & Family Welfare, Sports, Skill Development",BENGALURU URBAN,srikanth.onc@gmail.com,https://onctrust.in/
726,OM CHARITY INDIA FOUNDATION,U80301KA2010NPL052113,Section 8 Company,"NO.32/2, 1ST FLOOR, V MAIN ROAD CHAMARAJAPET, BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560018","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,rameshlux16@gmail.com,
727,OM CHOWDESHWARI SRI KORAGAJA DAIVASTHANA CHARITABLE TRUST,HSK-4-00897-2022-23,Trust,"SRI CHOWDESHWARI TEMPLE,BYLAHALLI VILLAGE, ANUGONDANAHALLI HOBLI, HOSKOTE TALUK, PINCODE560067 , BANGALORE, BENGALURU URBAN (Karnataka) - 560067","Art & Culture, Children, Differently Abled, Education & Literacy, Women's Development & Empowerment",ALL,AMRUTHACHAMUNDIDEVI@GMAIL.COM,
728,OM JAI JAGADHAMBA TRUST,354,Trust,"334/9, 7th B Cross, 10th Main Road, Bhuvaneshvari nagar, BSK IIIstage, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560085","Children, Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",ALL,rlvkiran@gmail.com,
729,OM SAIRAM CHARITABLE TRUST,KRI-4-00263-2015-16,Trust,"OM SAIRAM CHARITABLE TRUST Near Kavery Water Tank, A Narayanpura, Bangalore - 560016 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560016","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Human Rights",BENGALURU URBAN,kanna@omsairamtrust.org,
730,Om Santhosh Nirmala Charity Foundation,BAS-4-00190-2004-05,Trust,"J 77, J Block, Diamond District, HAL Airport Road, Kodihalli, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560008","Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development, Animal Welfare",BENGALURU URBAN,hemantkapoor12@gmail.com,
